a;faeduhopur;id;name;description
61;scaphopo;5.6e+09;SPZ;NA (Scaphopoda)
62;scle fer;6.1e+09;CRU;Marine Crustaceans (Crustacea)
63;seba mar;8826010139;RED;Redfish (Sebastes Marinus)
64;seba viv;8826010175;REV;Redfish (Sebastes Viviparus)
65;sebastez;8826010100;REG;Redfishes (Sebastes Spp)
66;spir lil;6179160208;SPL;NA (Spirontocaris Liljeborgii)
67;spir spi;6179160206;SNG;NA (Spirontocaris (Eualus) Gaimardi)
68;spirontz;6179160200;SSZ;NA (Spirontocaris Spp)
69;thys ine;6174020902;TYI;NA (Thysanoessa Inermis)
70;thys lon;6174020904;TYL;NA (Thysanoessa Longicaudata)
71;thys ras;6174020906;TYR;NA (Thysanoessa Raschii)
72;toda sag;5707150301;SQI;Northern Shortfin Squid (Illex (Loligo) Illecebrosus)
73;trig mur;8831023807;SPN;Sculpin (Triglops Murrayi)
74;tris esm;8791031703;NOP;Norway Pout (Trisopterus Esmarki)
75;unid;9999999999;TBX;Tube Worms (Tubeworms)
76;zoarchix;8793010000;EPX;Eel-Pouts (Zoarcidae)
77;para aby;6.1e+09;CRU;Marine Crustaceans (Crustacea)
78;parathez;6170011000;PTZ;NA (Parathermisto Spp (Thermisto))
79;mall vil;8755030201;CAP;Capelin (Mallotus Villosus)
80;agonidax;8831080000;AGY;NA (Agonidae)
81;ammo mar;8845010106;MSE;Sandeel (Ammodytes Marinus)
82;ammodytx;8845010000;SAX;Sandeels (Ammodytidae)
83;amphipod;6.168e+09;AAZ;NA (Amphipoda)
84;anar lup;8842020103;CAA;Catfish (Wolffish) (Anarhichas Lupus)
85;anar min;8842020104;CAS;Spotted Catfish (Anarhichas Minor)
86;anomura;6.183e+09;ANZ;NA (Anomura)
87;arca gla;5506010400;ARK;Ark Shells (Arca Spp)
88;arcturix;6162010000;ARZ;NA (Arcturidae)
89;arge sil;8756010203;GSS;Gt Silver Smelt (Argentina Silus)
90;argentix;8756010000;ARG;Argentines (Argentinidae)
91;ascidiac;8.401e+09;SSX;Sea Squirts (Ascidiacea)
92;asteroid;8.104e+09;STF;Starfishes (Asteroidea)
93;benthos;9999999999;TBX;Tube Worms (Tubeworms)
94;bivalvia;5.5e+09;BIV;NA (Mollusca-Bivalvia)
95;brachiop;8e+09;BCZ;NA (Brachiopoda)
96;brachyur;6.184e+09;CBX;NA (E-D-Pleocyemata-Brachyura)
97;bros bro;8791031101;USK;Tusk (Brosme Brosme)
98;bryozoa;8e+09;BCZ;NA (Brachiopoda)
99;carc mae;6189010701;CRG;Green Shore Crab (Carcinus Maenas)
100;cari gor;6179160801;CNG;NA (Caridion Gordoni)
101;cephalop;5.7e+09;CPZ;Squids Octopusses Etc. (Cephalopoda)
102;chaetogn;8.3e+09;CTZ;Arrow Worms (Chaetognatha)
103;chim mon;8716020202;RBF;Rabbit Fish(Rat-Tail) (Chimaera Monstrosa)
104;cili mus;8791032401;FVR;Five-Bearded Rockling (Ciliata Mustela)
105;cirriped;6.13e+09;CIZ;Barnacles (Cirrepedia)
106;clup har;8747010201;HER;Herring (Clupea Harengus)
107;cottidax;8831020000;CDY;Bullheads And Sculpins (Cottidae)
108;cran all;6179220119;CGA;NA (Crangon Allmanni)
109;crangonz;6179220100;CSX;NA (Crangon Spp)
110;crustace;6.1e+09;CRU;Marine Crustaceans (Crustacea)
111;crustres;6.1e+09;CRU;Marine Crustaceans (Crustacea)
112;cumacea;6.154e+09;CUZ;NA (P-Cumacea)
113;cycl lum;8831091501;LUM;Lumpsucker (Cyclopterus Lumpus)
114;declarva;6.176e+09;DCP;(Natantia) (Dendrobranchiata)
115;echinoid;8.149e+09;EEZ;Sea Urchins (E-Echinoida)
116;eual gai;6.1e+09;CRU;Marine Crustaceans (Crustacea)
117;eupagurz;6183060000;PAY;Hermit Crabs (Paguridae)
118;fiskegg;9999999999;TBX;Tube Worms (Tubeworms)
119;fora fer;2e+09;EGG;Eggs (Fish Eggs)
120;gadidaex;8791030000;GAD;Codlike Fishes (Gadidae)
121;gadu mor;8791030402;COD;Cod (Gadus Morhua)
122;gammarid;6.169e+09;GMZ;NA (Gammaridea)
123;decapoda;6.176e+09;DCP;(Natantia) (Dendrobranchiata)
124;hyas ara;6187010203;HYA;Great Spider Crab (Hyas Araneus)
125;ammo tob;8845010105;TSE;Sandeel (Ammodytes Tobianus)
126;anarhicz;8842020100;CAT;Catfishes (Anarhichas Spp)
127;tanaidac;6157010000;TAZ;NA (Tanaidae)
128;holothu2;8.17e+09;HTZ;Sea Cucumbers (Holothuroidea)
